time,ghi,ghi_clear_sky,day,GHI_daily_max_clearsky,GHI_percent_wrt_max
2023-05-31 23:00:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-05-31 23:10:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-05-31 23:20:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-05-31 23:30:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-05-31 23:40:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-05-31 23:50:00,0.0,0.0,2023-05-31,934.6723814301058,0.0
2023-06-01 00:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 00:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 00:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 00:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 00:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 00:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 01:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 02:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 03:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
